Gen,PhotoNum,Person,Trident
7,7_31,Taylor,31.883
7,7_32,Taylor,32.411
7,7_33,Taylor,53.353
7,7_34,Taylor,49.134
7,7_35,Taylor,51.457
7,7_36,Taylor,51.326
7,7_37,Taylor,28.094
7,7_38,Taylor,47.971
7,7_39,Taylor,47.423
7,7_40,Taylor,10.92
7,7_41,Taylor,43.041
7,7_42,Taylor,44.061
7,7_43,Taylor,69.486
7,7_44,Taylor,43.13
7,7_45,Taylor,26.774
7,7_46,Taylor,33.422
7,7_47,Taylor,55.398
7,7_48,Taylor,33.31
7,7_49,Taylor,21.991
7,7_50,Taylor,29.387
14,14_1,Paulina,30.348
14,14_2,Paulina,42.106
14,14_3,Paulina,31.72
14,14_4,Paulina,49.572
14,14_5,Paulina,1.527
14,14_6,Paulina,44.958
14,14_7,Paulina,26.801
14,14_8,Paulina,33.369
14,14_9,Paulina,18.534
14,14_10,Paulina,36.66
14,14_11,Paulina,28.677
14,14_12,Paulina,35.759
14,14_13,Paulina,25.71
14,14_14,Paulina,31.462
14,14_15,Paulina,40.293
14,14_16,Paulina,36.081
14,14_17,Paulina,51.677
14,14_18,Paulina,43.371
14,14_19,Paulina,46.785
14,14_20,Paulina,31.732
14,14_21,Paulina,24.413
14,14_22,Paulina,30.149
14,14_23,Paulina,68.021
14,14_24,Paulina,18.054
14,14_25,Paulina,19.071
14,14_26,Paulina,20.54
14,14_27,Paulina,14.161
14,14_28,Paulina,-2.698
14,14_29,Paulina,33.7
14,14_30,Paulina,7.182
14,14_31,Paulina,47.826
14,14_32,Paulina,18.18
14,14_33,Paulina,22.214
14,14_34,Paulina,42.418
14,14_35,Paulina,45.418
14,14_36,Paulina,24.399
14,14_37,Paulina,21.427
14,14_38,Paulina,7.038
14,14_39,Paulina,32.321
14,14_40,Paulina,26.772
14,14_41,Paulina,23.764
14,14_42,Paulina,11.849
14,14_43,Paulina,33.929
14,14_44,Paulina,44.432
14,14_45,Paulina,40.094
14,14_46,Paulina,32.408
14,14_47,Paulina,48.923
14,14_48,Paulina,38.078
14,14_49,Paulina,21.417
14,14_50,Paulina,40.482
3,3_1,Paulina,62.12
3,3_2,Paulina,52.018
3,3_3,Paulina,32.996
3,3_4,Paulina,49.491
3,3_5,Paulina,55.693
3,3_6,Paulina,37.863
3,3_7,Paulina,20.062
3,3_8,Paulina,31.392
3,3_9,Paulina,55.475
3,3_10,Paulina,75.834
3,3_11,Paulina,28.909
